t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.0 100 0 0 0
0.0 100 0 0 0
0.0 99 1 0 0
0.1 99 1 0 0
0.1 99 1 0 0
0.1 99 1 0 0
0.1 99 1 0 0
0.2 99 1 0 0
0.2 99 1 0 0
0.2 99 1 0 0
0.2 99 1 0 0
0.3 99 1 0 0
0.3 99 1 0 0
0.3 99 1 0 0
0.3 99 1 0 0
0.4 99 1 0 0
0.4 99 1 0 0
0.4 99 1 0 0
0.4 99 1 0 0
0.5 99 1 0 0
0.5 99 0 1 0
0.5 99 0 1 0
0.5 99 0 1 0
0.6 99 0 1 0
0.6 99 0 1 0
0.6 99 0 1 0
0.6 99 0 1 0
0.7 99 0 1 0
0.7 99 0 1 0
0.7 99 0 1 0
0.7 99 0 1 0
0.8 99 0 1 0
0.8 99 0 1 0
0.8 99 0 1 0
0.8 99 0 1 0
0.9 99 0 1 0
0.9 99 0 1 0
0.9 99 0 1 0
0.9 99 0 1 0
1.0 99 0 1 0
1.0 98 1 1 0
1.0 97 2 1 0
1.0 97 2 1 0
1.1 97 2 1 0
1.1 97 2 1 0
1.1 97 2 1 0
1.1 96 3 1 0
1.2 96 3 1 0
1.2 96 3 1 0
1.2 96 3 1 0
1.2 96 3 1 0
1.3 96 3 1 0
1.3 96 3 1 0
1.3 96 3 1 0
1.3 96 3 1 0
1.4 96 3 1 0
1.4 95 4 1 0
1.4 95 4 1 0
1.4 95 4 1 0
1.5 95 4 1 0
1.5 95 4 1 0
1.5 95 4 1 0
1.5 95 4 1 0
1.6 95 4 1 0
1.6 95 4 1 0
1.6 95 4 1 0
1.6 95 4 1 0
1.7 95 4 1 0
1.7 95 4 1 0
1.7 95 4 1 0
1.7 95 4 1 0
1.8 95 4 1 0
1.8 95 4 1 0
1.8 95 4 1 0
1.8 95 4 1 0
1.9 95 4 1 0
1.9 95 4 1 0
1.9 95 3 2 0
1.9 95 3 2 0
2.0 95 3 2 0
2.0 95 3 2 0
2.0 95 3 2 0
2.0 95 3 2 0
2.1 95 3 2 0
2.1 95 3 2 0
2.1 95 3 2 0
2.1 95 3 2 0
2.2 95 3 2 0
2.2 95 3 2 0
2.2 95 3 2 0
2.2 94 4 2 0
2.3 94 4 2 0
2.3 94 4 2 0
2.3 94 4 2 0
2.3 94 4 2 0
2.4 94 4 2 0
2.4 94 4 2 0
2.4 94 4 2 0
2.4 94 4 2 0
2.5 94 4 2 0
2.5 94 4 2 0
2.5 94 4 2 0
2.5 94 4 2 0
2.6 94 4 2 0
2.6 94 4 2 0
2.6 94 4 2 0
2.6 94 4 2 0
2.7 94 4 2 0
2.7 94 4 2 0
2.7 94 4 2 0
2.7 94 4 2 0
2.8 94 4 2 0
2.8 94 4 2 0
2.8 94 4 2 0
2.8 94 4 2 0
2.9 94 4 2 0
2.9 94 4 2 0
2.9 94 4 2 0
2.9 94 4 2 0
3.0 94 4 2 0
3.0 94 4 2 0
3.0 94 4 2 0
3.0 94 4 2 0
3.1 94 4 2 0
3.1 94 4 2 0
3.1 94 4 2 0
3.1 94 4 2 0
3.2 93 5 2 0
3.2 93 5 2 0
3.2 93 5 2 0
3.2 93 5 2 0
3.3 93 5 2 0
3.3 93 4 3 0
3.3 93 4 3 0
3.3 93 4 3 0
3.4 93 4 3 0
3.4 93 4 3 0
3.4 93 4 3 0
3.4 93 4 3 0
3.5 93 4 3 0
3.5 93 4 3 0
3.5 93 4 3 0
3.5 93 4 3 0
3.6 93 3 4 0
3.6 93 3 4 0
3.6 93 3 4 0
3.6 93 3 4 0
3.7 93 3 4 0
3.7 93 3 4 0
3.7 93 3 4 0
3.7 93 3 4 0
3.8 93 3 4 0
3.8 93 3 2 2
3.8 93 3 2 2
3.8 93 3 1 3
3.9 93 3 1 3
3.9 93 3 1 3
3.9 93 3 1 3
3.9 93 3 1 3
4.0 93 3 1 3
4.0 93 3 1 3
4.0 93 3 1 3
4.0 93 3 1 3
4.1 93 3 1 3
4.1 93 3 1 3
4.1 93 3 1 3
4.1 93 3 1 3
4.2 93 3 1 3
4.2 93 3 1 3
4.2 93 3 1 3
4.2 93 3 1 3
4.3 93 3 1 3
4.3 93 3 1 3
4.3 93 3 1 3
4.3 93 3 1 3
4.4 93 3 1 3
4.4 93 3 1 3
4.4 93 3 1 3
4.4 93 3 1 3
4.5 93 3 1 3
4.5 93 3 1 3
4.5 93 3 1 3
4.5 93 3 1 3
4.6 93 3 1 3
4.6 93 3 1 3
4.6 93 3 1 3
4.6 92 4 1 3
4.7 92 4 1 3
