t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 98 2 0 0 0
0.2 98 2 0 0 0
0.3 98 2 0 0 0
0.4 98 2 0 0 0
0.5 97 3 0 0 0
0.6 94 6 0 0 0
0.7 92 8 0 0 0
0.8 89 11 0 0 0
0.9 88 12 0 0 0
1.0 87 13 0 0 0
1.1 84 16 0 0 0
1.2 83 17 0 0 0
1.3 80 19 1 0 0
1.4 80 19 1 0 0
1.5 78 20 2 0 0
1.6 77 21 2 0 0
1.7 75 23 2 0 0
1.8 74 24 2 0 0
1.9 74 24 2 0 0
2.0 72 26 2 0 0
2.1 71 27 2 0 0
2.2 70 27 3 0 0
2.3 68 29 3 0 0
2.4 64 33 3 0 0
2.5 64 33 3 0 0
2.6 63 34 3 0 0
2.7 61 36 3 0 0
2.8 59 36 5 0 0
2.9 57 38 5 0 0
3.0 56 39 5 0 0
3.1 53 42 5 0 0
3.2 52 43 5 0 0
3.3 52 43 5 0 0
3.4 51 44 5 0 0
3.5 49 46 5 0 0
3.6 49 46 5 0 0
3.7 49 46 5 0 0
3.8 48 47 5 0 0
3.9 47 48 5 0 0
4.0 46 49 5 0 0
4.1 44 50 5 0 1
4.2 43 51 5 0 1
4.3 43 50 6 0 1
4.4 42 51 6 0 1
4.5 42 51 6 0 1
4.6 41 51 7 0 1
4.7 41 51 7 0 1
4.8 39 53 6 0 2
4.9 39 52 7 0 2
5.0 38 53 7 0 2
5.1 37 54 7 0 2
5.2 34 57 7 0 2
5.3 32 59 7 0 2
5.4 31 59 8 0 2
5.5 31 59 8 0 2
5.6 30 60 8 0 2
5.7 28 62 8 0 2
5.8 27 63 8 0 2
5.9 27 63 8 0 2
6.0 26 64 8 0 2
6.1 26 64 8 0 2
6.2 24 66 8 0 2
6.3 23 67 8 0 2
6.4 22 68 8 0 2
6.5 20 70 8 0 2
6.6 20 70 8 0 2
6.7 20 69 9 0 2
6.8 20 68 10 0 2
6.9 19 69 9 0 3
7.0 18 70 9 0 3
7.1 18 70 9 0 3
7.2 17 71 9 0 3
7.3 17 71 9 0 3
7.4 17 71 9 0 3
7.5 17 71 9 0 3
7.6 17 70 10 0 3
7.7 17 70 9 0 4
7.8 17 68 11 0 4
7.9 17 68 11 0 4
8.0 17 68 11 0 4
8.1 16 69 11 0 4
8.2 16 69 11 0 4
8.3 16 69 10 0 5
8.4 16 69 10 0 5
8.5 16 69 10 0 5
8.6 16 69 10 0 5
8.7 16 69 10 0 5
8.8 16 68 11 0 5
8.9 16 68 10 0 6
9.0 16 68 10 0 6
9.1 16 68 10 0 6
9.2 16 68 10 0 6
9.3 16 68 10 0 6
9.4 15 69 10 0 6
9.5 15 67 12 0 6
9.6 15 66 13 0 6
9.7 15 66 13 0 6
9.8 14 67 13 0 6
9.9 14 67 13 0 6
10.0 14 67 13 0 6
10.1 14 67 13 0 6
10.2 14 67 13 0 6
10.3 14 66 14 0 6
10.4 14 65 15 0 6
10.5 14 65 15 0 6
10.6 14 65 15 0 6
10.7 14 65 15 0 6
10.8 14 64 16 0 6
10.9 14 64 16 0 6
11.0 13 65 16 0 6
11.1 13 65 16 0 6
11.2 12 65 17 0 6
11.3 12 65 17 0 6
11.4 12 65 17 0 6
