t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.5 99 1 0 0
0.6 99 1 0 0
0.7 99 1 0 0
0.8 98 1 1 0
0.9 98 1 1 0
1.0 98 1 1 0
1.1 98 1 1 0
1.2 98 1 1 0
1.3 98 1 1 0
1.4 98 1 1 0
1.5 98 1 0 1
1.6 98 1 0 1
1.7 98 1 0 1
1.8 98 1 0 1
1.9 98 1 0 1
2.0 98 1 0 1
2.1 98 1 0 1
2.2 98 1 0 1
2.3 98 1 0 1
2.4 98 1 0 1
2.5 98 1 0 1
2.6 98 1 0 1
2.7 97 2 0 1
2.8 97 2 0 1
2.9 97 2 0 1
3.0 97 2 0 1
3.1 97 2 0 1
3.2 97 2 0 1
3.3 97 2 0 1
3.4 97 1 1 1
3.5 97 1 1 1
3.6 97 1 1 1
3.7 97 1 1 1
3.8 96 2 1 1
3.9 96 1 2 1
4.0 96 1 2 1
4.1 96 1 2 1
4.2 96 1 2 1
4.3 96 1 2 1
4.4 96 1 2 1
4.5 96 1 2 1
4.6 96 1 2 1
4.7 96 1 2 1
4.8 96 1 2 1
4.9 95 2 2 1
5.0 95 2 1 2
5.1 95 2 1 2
5.2 95 2 1 2
5.3 95 2 1 2
5.4 95 2 1 2
5.5 95 2 1 2
5.6 95 2 1 2
5.7 95 2 1 2
5.8 95 2 1 2
5.9 95 2 1 2
6.0 95 2 1 2
6.1 95 2 1 2
6.2 95 2 1 2
6.3 95 2 1 2
6.4 95 2 1 2
6.5 95 2 1 2
6.6 93 4 1 2
6.7 92 5 1 2
6.8 92 5 1 2
6.9 92 5 1 2
7.0 91 6 1 2
7.1 91 6 1 2
7.2 91 6 1 2
7.3 91 6 1 2
7.4 91 6 1 2
7.5 91 6 1 2
7.6 91 6 1 2
7.7 91 6 1 2
7.8 91 6 1 2
7.9 91 6 1 2
8.0 91 6 1 2
8.1 90 7 1 2
