t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 99 1 0 0 0
0.2 97 3 0 0 0
0.3 95 5 0 0 0
0.4 94 6 0 0 0
0.5 91 9 0 0 0
0.6 88 12 0 0 0
0.7 85 15 0 0 0
0.8 82 18 0 0 0
0.9 80 20 0 0 0
1.0 76 24 0 0 0
1.1 76 24 0 0 0
1.2 73 27 0 0 0
1.3 72 28 0 0 0
1.4 72 28 0 0 0
1.5 72 28 0 0 0
1.6 72 28 0 0 0
1.7 72 28 0 0 0
1.8 71 28 1 0 0
1.9 70 29 1 0 0
2.0 69 30 1 0 0
2.1 65 34 1 0 0
2.2 63 36 1 0 0
2.3 60 39 1 0 0
2.4 59 40 1 0 0
2.5 57 42 1 0 0
2.6 56 43 1 0 0
2.7 54 45 1 0 0
2.8 54 45 1 0 0
2.9 54 45 1 0 0
3.0 52 47 1 0 0
3.1 52 47 1 0 0
3.2 51 48 1 0 0
3.3 50 49 1 0 0
3.4 49 50 1 0 0
3.5 49 50 1 0 0
3.6 47 52 1 0 0
3.7 46 51 3 0 0
3.8 45 52 3 0 0
3.9 44 53 3 0 0
4.0 43 54 3 0 0
4.1 41 56 3 0 0
4.2 41 56 3 0 0
4.3 38 59 3 0 0
4.4 38 58 4 0 0
4.5 38 58 4 0 0
4.6 37 58 5 0 0
4.7 36 59 5 0 0
4.8 36 59 5 0 0
4.9 35 60 5 0 0
5.0 34 61 5 0 0
5.1 32 63 5 0 0
5.2 31 64 5 0 0
5.3 30 65 4 0 1
5.4 29 66 4 0 1
5.5 29 65 5 0 1
5.6 28 66 5 0 1
5.7 26 68 5 0 1
5.8 25 69 4 0 2
5.9 24 70 4 0 2
6.0 24 70 4 0 2
6.1 24 70 4 0 2
6.2 23 71 4 0 2
6.3 23 71 4 0 2
6.4 22 72 4 0 2
6.5 22 71 5 0 2
6.6 21 72 5 0 2
6.7 20 73 5 0 2
6.8 20 73 5 0 2
6.9 20 72 6 0 2
7.0 19 73 6 0 2
7.1 19 73 6 0 2
7.2 17 75 6 0 2
7.3 16 76 6 0 2
7.4 16 75 7 0 2
7.5 16 75 7 0 2
7.6 15 76 7 0 2
7.7 15 76 7 0 2
7.8 15 76 7 0 2
7.9 15 76 7 0 2
8.0 14 77 7 0 2
8.1 14 77 7 0 2
8.2 14 77 7 0 2
8.3 14 77 7 0 2
8.4 14 77 7 0 2
8.5 13 78 7 0 2
8.6 13 78 7 0 2
8.7 13 78 7 0 2
8.8 12 79 7 0 2
8.9 12 79 7 0 2
9.0 12 79 7 0 2
9.1 12 79 7 0 2
9.2 12 79 7 0 2
9.3 12 79 7 0 2
9.4 12 79 7 0 2
9.5 12 78 8 0 2
9.6 12 78 8 0 2
9.7 12 78 8 0 2
9.8 12 77 9 0 2
9.9 12 77 9 0 2
10.0 12 76 10 0 2
10.1 12 76 10 0 2
10.2 12 76 10 0 2
10.3 12 76 10 0 2
10.4 12 76 10 0 2
10.5 12 76 10 0 2
10.6 11 77 10 0 2
10.7 11 76 11 0 2
10.8 11 76 11 0 2
10.9 11 76 11 0 2
11.0 11 75 12 0 2
11.1 11 75 12 0 2
11.2 11 74 13 0 2
11.3 11 74 13 0 2
11.4 10 75 13 0 2
11.5 10 73 15 0 2
11.6 10 73 15 0 2
11.7 10 73 15 0 2
11.8 10 73 15 0 2
11.9 10 72 16 0 2
12.0 10 72 16 0 2
12.1 10 72 16 0 2
12.2 9 73 16 0 2
12.3 9 73 16 0 2
12.4 9 73 16 0 2
12.5 9 73 16 0 2
12.6 9 72 17 0 2
12.7 8 73 17 0 2
12.8 7 74 16 0 3
12.9 7 74 16 0 3
13.0 7 73 17 0 3
13.1 7 73 17 0 3
13.2 7 73 17 0 3
13.3 7 72 18 0 3
13.4 6 73 18 0 3
13.5 6 73 18 0 3
